,job_title,company_name,location,start_date,duration,stipend,last_date,job_type,Url
0,Business Development (Sales),Legal Salaah,Delhi,Starts immediately,3 Months, 5000 /month +  Incentives,13 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/business-development-sales-internship-in-delhi-at-legal-salaah1635404322
1,Campus Ambassador,E-cell IIT-Hyderabad,Work From Home,Starts immediately,2 Months,Performance Based,10 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/campus-ambassador-programme-at-e-cell-iit-hyderabad1635258030
2,Fundraising,Tare Zameen Foundation,Work From Home,Starts immediately,1 Month, 1000 /month +  Incentives,3 Dec' 21,"
                Internship                ",https://internshala.com /internship/detail/fundraising-work-from-home-job-internship-at-tare-zameen-foundation1635339179
3,Event Management,Breakout,Indore,Starts immediately,6 Months, 10000-14000 /month,23 Nov' 21,"
                Internship with job offer                ",https://internshala.com /internship/detail/event-management-internship-in-indore-at-breakout1634108925
4,Content Writing,Fashion TV India,Work From Home,Starts immediately,3 Months, 1000-2000 /month,16 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/content-writing-work-from-home-job-internship-at-fashion-tv-india1635838429
5,Marketing,Taylor & Francis India,Delhi,Starts immediately,6 Months, 10000-15000 /month,16 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/marketing-internship-in-delhi-at-taylor-francis-india1635835862
6,Student Mentoring,Teach For India,Work From Home,Starts immediately,3 Months,Unpaid,16 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/student-mentoring-work-from-home-job-internship-at-teach-for-india1635829296
7,Teaching,Pratham Education Foundation,Work From Home,Starts immediately,3 Months,Unpaid,15 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/teaching-work-from-home-job-internship-at-pratham-education-foundation1635774923
8,Business Development (Sales),Viacom India LLP,Delhi,Starts immediately,6 Months, 5000 /month +  Incentives,15 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/business-development-sales-internship-in-delhi-gurgaon-at-viacom-india-llp1635750353
9,Content Writing,Pocket FM,Work From Home,Starts immediately,6 Months, 12000-15000 /month,15 Nov' 21,"
                Internship                ",https://internshala.com /internship/detail/content-writing-work-from-home-job-internship-at-pocket-fm1635745899
